trades,win_rate,profit_factor,avg_trade,median_trade,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity,family,param
24,0.75,5.088089243124744,0.09416146504876953,0.10276170715999788,4.697424037322959,0.3372283427135814,0.9209756322932037,-0.45911426095451235,0.7345194244510582,0.03774834437086093,569742.4037322958,ATRpct14_min,0.12
2,1.0,inf,0.014081971983735286,0.014081971983735286,0.02834159774209022,0.004678394726737478,0.22921253824615248,-0.03314641568925891,0.14114330703495975,0.0033112582781456954,102834.15977420902,ATRpct14_max,0.04
10,0.7,1.9273849283507958,0.012321459997175188,0.016650627965880682,0.11814727969574945,0.018825486675664305,0.24685890920101972,-0.1593800243350061,0.11811697704408929,0.015894039735099338,111814.72796957495,ATRpct14_max,0.05
17,0.7647058823529411,2.014863318411313,0.016498197408128065,0.020498221005306405,0.2789545912205851,0.04194748799459269,0.3883693569329547,-0.18993487261104025,0.22085195529361906,0.030463576158940398,127895.45912205851,ATRpct14_max,0.06
22,0.7272727272727273,1.484501266844037,0.011118016060303831,0.020541474038778262,0.20832641044787548,0.03210899235507969,0.2668131916855711,-0.2112009353866997,0.15203054047222625,0.04105960264900662,120832.64104478755,ATRpct14_max,0.07
32,0.75,2.0144945416454645,0.022328798110153317,0.020737697524337184,0.8453815125649944,0.10774282222224452,0.5678667596994132,-0.2677691759049414,0.40237201260421934,0.05827814569536424,184538.15125649943,ATRpct14_max,0.08
42,0.7380952380952381,2.192979941760645,0.023617802779966973,0.020737697524337184,1.3889163497869288,0.15654674058440654,0.6917933297619143,-0.2145234866231045,0.7297417315402994,0.07483443708609272,238891.6349786929,ATRpct14_max,0.1
53,0.6981132075471698,1.6352256529846338,0.017727223660783612,0.020498221005306405,1.0070937307637706,0.12339297463093724,0.5175117539491407,-0.5120541176727633,0.240976432709391,0.09933774834437085,200709.37307637706,ATRpct14_max,0.12
63,0.7142857142857143,2.2312429160164813,0.03038411511732337,0.03918601630273222,3.0904625964773986,0.2652369584291612,0.7919836014294604,-0.3668056669780314,0.7230994019649284,0.1152317880794702,409046.2596477399,ATRpct14_max,0.15
71,0.7183098591549296,2.56608440885869,0.04080870191112186,0.04212328048836844,7.872429658021607,0.4398996018604764,0.9802154480672237,-0.4884931582236043,0.9005235681501919,0.12847682119205298,887242.9658021608,ATRpct20_min,0.03
68,0.7058823529411765,2.5157158876656687,0.04123868928736866,0.04362563129968766,7.101140529981114,0.4181949472826334,0.9511192703582494,-0.4884931582236043,0.8560917184662137,0.12450331125827814,810114.0529981114,ATRpct20_min,0.04
63,0.6984126984126984,2.623678093396934,0.044528107247178046,0.04937179697149152,7.187094596282154,0.42069694328745477,0.9631222878425476,-0.4884931582236042,0.86121358345593,0.1119205298013245,818709.4596282154,ATRpct20_min,0.05
56,0.7321428571428571,3.038190958531083,0.052277703250275,0.061417691678848696,8.509189851818363,0.4566639083097841,1.0179958926238544,-0.4884931582236042,0.9348419739806254,0.09933774834437085,950918.9851818363,ATRpct20_min,0.06
48,0.7083333333333334,2.8153208895542554,0.05087670225962499,0.06299085084383016,5.060534503974842,0.35109796176663344,0.8716384015995641,-0.4884931582236043,0.718736702563848,0.08543046357615894,606053.4503974842,ATRpct20_min,0.07
44,0.7045454545454546,2.7448588449861844,0.05105685022579692,0.054782224467653684,4.035103274572658,0.3099120604637713,0.8161543148507736,-0.5176785075309628,0.5986573828260296,0.07880794701986756,503510.3274572658,ATRpct20_min,0.08
31,0.6774193548387096,3.081550986525599,0.06727767245482733,0.07809312808383573,3.451688511466136,0.2832458358519838,0.7887173346955336,-0.45911426095451235,0.6169397466833358,0.0576158940397351,445168.8511466136,ATRpct20_min,0.1
