trades,win_rate,profit_factor,avg_trade,total_return,cagr,sharpe,max_drawdown,calmar,exposure,family,param,period
47,0.7446808510638298,2.1304108498142673,0.029813486648051737,1.5899849807246063,0.17226178794471814,0.6297982794015087,-0.3993722881488265,0.43133134936123707,0.08874172185430464,ADX14_max,35.0,IS
50,0.7,2.136418635791369,0.033886950039982364,2.032589325815866,0.20355931370717184,0.6442860699539005,-0.5157593060983247,0.3946788963384505,0.09271523178807947,Gap_down,0.0,IS
46,0.717391304347826,2.2758470451237947,0.03865638091415535,2.3014252502936263,0.22075391547567547,0.6842345834739522,-0.4884931582236043,0.4519078962711427,0.08211920529801324,Gap_down,-0.01,IS
42,0.7142857142857143,2.2500813328048355,0.04121301385240337,2.1512515249946933,0.2112992798729063,0.6662363109384384,-0.4884931582236043,0.4325532022624267,0.07880794701986756,Gap_down,-0.02,IS
34,0.6764705882352942,1.947904573952079,0.033703329727087325,0.8919629965131635,0.11236436986926757,0.4670828208556311,-0.514310305046122,0.21847582824378958,0.06291390728476821,Gap_down,-0.03,IS
20,0.55,1.4065592034441219,0.02053555322849528,0.1531011244580982,0.024076615204035257,0.23930427739304197,-0.5441864564444859,0.04424331939707394,0.035099337748344374,Gap_down,-0.05,IS
10,0.4,1.4211514807065568,0.023247004902770874,0.05699276776433715,0.009299964029253482,0.17953818391107432,-0.5441864564444858,0.017089664616087706,0.01390728476821192,Gap_down,-0.08,IS
51,0.7647058823529411,2.4387992000986722,0.039535524594006576,3.287388958079471,0.2752116810740457,0.7758421144376838,-0.45911426095451247,0.5994404976701709,0.09337748344370861,CloseLocation_low,-0.8,IS
70,0.7285714285714285,2.6480168223380676,0.042209456675631626,8.411163542394494,0.45414523199893386,1.0006203971904226,-0.48849315822360406,0.9296859625433123,0.12781456953642384,CloseLocation_low,-0.6,IS
71,0.7183098591549296,2.56608440885869,0.04080870191112186,7.872429658021607,0.4398996018604764,0.9802154480672237,-0.4884931582236043,0.9005235681501919,0.12847682119205298,CloseLocation_low,-0.4,IS
