cci_lookback,cci_entry,cci_exit,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity
20,-120,100,37,0.7297297297297297,4.615218315076088,0.06121640354233213,0.06465100545670222,3.6216216216216215,5.142293603816288,0.3541250594874654,0.9960493911713149,-0.330889238620215,1.0702223528457502,0.06688741721854305,614229.3603816289
20,-120,150,37,0.7297297297297297,4.615218315076088,0.06121640354233213,0.06465100545670222,3.6216216216216215,5.142293603816288,0.3541250594874654,0.9960493911713149,-0.330889238620215,1.0702223528457502,0.06688741721854305,614229.3603816289
14,-100,0,48,0.7083333333333334,2.909944495726737,0.044431500403899614,0.05600130076777454,3.875,4.175422170611804,0.31593912995716233,0.8644706465266173,-0.3235447019136113,0.976492979450859,0.09006622516556291,517542.2170611804
14,-100,50,48,0.7083333333333334,2.909944495726737,0.044431500403899614,0.05600130076777454,3.875,4.175422170611804,0.31593912995716233,0.8644706465266173,-0.3235447019136113,0.976492979450859,0.09006622516556291,517542.2170611804
14,-100,100,48,0.7083333333333334,2.909944495726737,0.044431500403899614,0.05600130076777454,3.875,4.175422170611804,0.31593912995716233,0.8644706465266173,-0.3235447019136113,0.976492979450859,0.09006622516556291,517542.2170611804
14,-100,150,48,0.7083333333333334,2.909944495726737,0.044431500403899614,0.05600130076777454,3.875,4.175422170611804,0.31593912995716233,0.8644706465266173,-0.3235447019136113,0.976492979450859,0.09006622516556291,517542.2170611804
7,-120,0,45,0.7333333333333333,2.677633813347671,0.04765978652302169,0.06465100545670222,4.022222222222222,4.10756989626038,0.3130419202387269,0.883102187678584,-0.3257011937607833,0.9611322470885562,0.0847682119205298,510756.98962603806
7,-120,50,45,0.7333333333333333,2.677633813347671,0.04765978652302169,0.06465100545670222,4.022222222222222,4.10756989626038,0.3130419202387269,0.883102187678584,-0.3257011937607833,0.9611322470885562,0.0847682119205298,510756.98962603806
7,-120,100,45,0.7333333333333333,2.677633813347671,0.04765978652302169,0.06465100545670222,4.022222222222222,4.10756989626038,0.3130419202387269,0.883102187678584,-0.3257011937607833,0.9611322470885562,0.0847682119205298,510756.98962603806
7,-120,150,45,0.7333333333333333,2.677633813347671,0.04765978652302169,0.06465100545670222,4.022222222222222,4.10756989626038,0.3130419202387269,0.883102187678584,-0.3257011937607833,0.9611322470885562,0.0847682119205298,510756.98962603806
30,-80,0,48,0.75,3.493910753554626,0.05181197261428189,0.06115862658522353,4.291666666666667,6.290709897589962,0.39344824857693195,0.999767821238675,-0.4099212753410435,0.9598141698051499,0.09536423841059603,729070.9897589962
30,-80,50,48,0.75,3.493910753554626,0.05181197261428189,0.06115862658522353,4.291666666666667,6.290709897589962,0.39344824857693195,0.999767821238675,-0.4099212753410435,0.9598141698051499,0.09536423841059603,729070.9897589962
30,-80,100,48,0.75,3.493910753554626,0.05181197261428189,0.06115862658522353,4.291666666666667,6.290709897589962,0.39344824857693195,0.999767821238675,-0.4099212753410435,0.9598141698051499,0.09536423841059603,729070.9897589962
30,-80,150,48,0.75,3.493910753554626,0.05181197261428189,0.06115862658522353,4.291666666666667,6.290709897589962,0.39344824857693195,0.999767821238675,-0.4099212753410435,0.9598141698051499,0.09536423841059603,729070.9897589962
7,-150,0,26,0.7692307692307693,3.5185888270297467,0.06392682679111565,0.0811551892046174,3.8461538461538463,2.533349743045493,0.23467436334091962,0.8333075054253084,-0.3257011937607833,0.7205204274236714,0.048344370860927154,353334.9743045493
7,-150,50,26,0.7692307692307693,3.5185888270297467,0.06392682679111565,0.0811551892046174,3.8461538461538463,2.533349743045493,0.23467436334091962,0.8333075054253084,-0.3257011937607833,0.7205204274236714,0.048344370860927154,353334.9743045493
7,-150,100,26,0.7692307692307693,3.5185888270297467,0.06392682679111565,0.0811551892046174,3.8461538461538463,2.533349743045493,0.23467436334091962,0.8333075054253084,-0.3257011937607833,0.7205204274236714,0.048344370860927154,353334.9743045493
7,-150,150,26,0.7692307692307693,3.5185888270297467,0.06392682679111565,0.0811551892046174,3.8461538461538463,2.533349743045493,0.23467436334091962,0.8333075054253084,-0.3257011937607833,0.7205204274236714,0.048344370860927154,353334.9743045493
